CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 412.648438 1753079895.1126
MEM 412.648438 1753079895.2134
MEM 412.648438 1753079895.3138
MEM 412.773438 1753079895.4142
MEM 412.773438 1753079895.5146
MEM 412.773438 1753079895.6154
MEM 412.773438 1753079895.7161
MEM 412.773438 1753079895.8167
MEM 412.773438 1753079895.9173
MEM 412.773438 1753079896.0178
MEM 412.773438 1753079896.1182
MEM 412.773438 1753079896.2186
MEM 412.773438 1753079896.3189
MEM 412.773438 1753079896.4195
MEM 412.898438 1753079896.5201
MEM 412.898438 1753079896.6205
MEM 412.898438 1753079896.7209
MEM 412.898438 1753079896.8213
MEM 412.898438 1753079896.9217
MEM 412.898438 1753079897.0222
MEM 412.898438 1753079897.1227
MEM 412.898438 1753079897.2231
MEM 412.898438 1753079897.3236
MEM 412.898438 1753079897.4241
MEM 412.898438 1753079897.5246
MEM 412.898438 1753079897.6248
MEM 412.898438 1753079897.7252
MEM 412.898438 1753079897.8256
MEM 412.898438 1753079897.9260
MEM 412.898438 1753079898.0263
MEM 412.898438 1753079898.1268
MEM 412.898438 1753079898.2272
MEM 412.898438 1753079898.3275
MEM 412.898438 1753079898.4280
MEM 412.898438 1753079898.5283
MEM 412.898438 1753079898.6289
MEM 412.898438 1753079898.7292
MEM 412.898438 1753079898.8296
MEM 412.898438 1753079898.9300
MEM 412.898438 1753079899.0304
MEM 412.898438 1753079899.1308
MEM 412.898438 1753079899.2312
MEM 412.898438 1753079899.3315
MEM 412.898438 1753079899.4319
MEM 412.898438 1753079899.5324
MEM 412.898438 1753079899.6329
MEM 412.898438 1753079899.7335
MEM 412.898438 1753079899.8338
MEM 412.898438 1753079899.9341
MEM 412.898438 1753079900.0344
MEM 412.898438 1753079900.1349
MEM 412.898438 1753079900.2352
MEM 412.898438 1753079900.3355
MEM 412.898438 1753079900.4360
MEM 412.898438 1753079900.5364
MEM 412.898438 1753079900.6368
MEM 413.023438 1753079900.7371
MEM 413.398438 1753079900.8376
MEM 413.398438 1753079900.9380
MEM 413.398438 1753079901.0385
MEM 413.398438 1753079901.1389
MEM 413.398438 1753079901.2393
MEM 413.398438 1753079901.3397
MEM 413.398438 1753079901.4401
MEM 413.398438 1753079901.5405
MEM 413.398438 1753079901.6409
MEM 413.398438 1753079901.7412
MEM 413.398438 1753079901.8415
MEM 413.398438 1753079901.9418
MEM 413.398438 1753079902.0422
MEM 413.398438 1753079902.1425
MEM 413.398438 1753079902.2429
MEM 413.398438 1753079902.3434
MEM 413.398438 1753079902.4438
MEM 413.398438 1753079902.5441
MEM 413.398438 1753079902.6446
MEM 413.398438 1753079902.7451
MEM 413.398438 1753079902.8455
MEM 413.398438 1753079902.9458
MEM 413.398438 1753079903.0461
MEM 413.398438 1753079903.1465
MEM 413.398438 1753079903.2468
MEM 413.398438 1753079903.3473
MEM 413.398438 1753079903.4475
MEM 413.398438 1753079903.5481
MEM 413.398438 1753079903.6484
MEM 413.398438 1753079903.7488
MEM 413.398438 1753079903.8491
MEM 413.398438 1753079903.9497
MEM 413.398438 1753079904.0501
MEM 413.398438 1753079904.1505
MEM 413.398438 1753079904.2508
MEM 413.398438 1753079904.3512
MEM 413.398438 1753079904.4516
MEM 413.398438 1753079904.5519
MEM 413.398438 1753079904.6524
MEM 413.398438 1753079904.7529
MEM 413.398438 1753079904.8534
MEM 413.398438 1753079904.9538
MEM 413.398438 1753079905.0545
MEM 413.398438 1753079905.1548
MEM 413.398438 1753079905.2552
MEM 413.398438 1753079905.3556
MEM 413.398438 1753079905.4562
MEM 413.398438 1753079905.5567
MEM 413.398438 1753079905.6573
MEM 413.398438 1753079905.7578
MEM 413.398438 1753079905.8581
MEM 413.398438 1753079905.9585
MEM 413.398438 1753079906.0590
MEM 413.398438 1753079906.1594
MEM 413.398438 1753079906.2597
MEM 413.398438 1753079906.3603
MEM 413.398438 1753079906.4606
MEM 413.398438 1753079906.5612
MEM 413.398438 1753079906.6615
MEM 413.398438 1753079906.7618
MEM 413.398438 1753079906.8622
MEM 413.398438 1753079906.9626
MEM 413.398438 1753079907.0630
MEM 413.398438 1753079907.1633
MEM 413.398438 1753079907.2636
MEM 413.398438 1753079907.3640
MEM 413.398438 1753079907.4643
MEM 413.398438 1753079907.5646
MEM 413.398438 1753079907.6650
MEM 413.398438 1753079907.7655
MEM 413.398438 1753079907.8659
MEM 413.398438 1753079907.9662
MEM 413.523438 1753079908.0667
MEM 413.523438 1753079908.1670
MEM 413.523438 1753079908.2673
MEM 413.523438 1753079908.3676
MEM 413.523438 1753079908.4678
MEM 413.523438 1753079908.5681
MEM 413.523438 1753079908.6684
MEM 413.523438 1753079908.7689
MEM 413.523438 1753079908.8694
MEM 413.523438 1753079908.9698
MEM 413.523438 1753079909.0706
MEM 413.523438 1753079909.1710
MEM 413.523438 1753079909.2714
MEM 413.523438 1753079909.3719
MEM 413.523438 1753079909.4722
MEM 413.523438 1753079909.5729
MEM 413.523438 1753079909.6733
